latitude;longitude;altitude(m);ultrasonicHeight(m);speed(mps);distance(m);max_altitude(m);max_ascent(m);max_speed(mps);max_distance(m);time(millisecond);datetime(utc);datetime(local);satellites;pressure(Pa);temperature(F);voltage(v);home_latitude;home_longitude;velocityX(mps);velocityY(mps);velocityZ(mps);pitch(deg);roll(deg);yaw(deg);powerlevel;isflying;istakingphoto;remainPowerPercent;remainLifePercent;currentCurrent;currentElectricity;currentVoltage;batteryTemperature;dischargeCount;flightmode;isMotorsOn;isTakingVideo;Rc_elevator;Rc_aileron;Rc_throttle;Rc_rudder;Rc_gyro;timestamp;Battery_Cell1;Battery_Cell2;Battery_Cell3;Battery_Cell4;Battery_Cell5;Battery_Cell6;Dronetype;AppVersion;Planename;FlyControllerSerialNumber;RemoteSerialNumber;BatterySerialNumber;CENTER_BATTERY.productDate;CENTER_BATTERY.serialNo;CENTER_BATTERY.fullCapacity;CENTER_BATTERY.productDateRaw;pitchRaw;rollRaw;yawRaw;gimbalPitchRaw;gimbalRollRaw;gimbalYawRaw;flyState;altitudeRaw;speedRaw;distanceRaw;velocityXRaw;velocityYRaw;velocityZRaw;data_reuse;App_Tip;App_Warning;downlinkSignalQuality;uplinkSignalQuality;transmissionChannel;rcModeSwitch;rcHome;rcPause;rcTransform;rcJoystickMode;appMode;FlyControllerSerialNumber_legacy;RemoteSerialNumber_legacy;BatterySerialNumber_legacy;Battery2SerialNumber;frontAvoidDist;backAvoidDist;isBrakingToAvoid
-29.447897;-53.285895;0.5;0.5;0.2;0.06;0.5;0.5;0.2;0.06;0;43:51.9;43:51.9;11;0;0;16.779;-29.447898;-53.285895;0;0;-0.2;-0.9;-0.6;158.7;0;1;0;85;100;-1799;3175;16779;3105.5;3;P-GPS;1;0;0;0;-660;0;0;1.57618E+12;4196;4198;4182;4192;0;0;28;Litchi_4.17.0-g;Mavic 2 Enterprise;276DF9N001KY48;0VECFAP0072WTK;161AFA8636043H;;0;0;0;9;-6;1587;0;0;1624;6;5;2;0.58;0;0;-2;0;;;100;100;0;2;0;0;0;2;0;;;;null;6.4;0;0
-29.447898;-53.285895;0.5;0.5;0;0.03;0.5;0.5;0.2;0.06;101;43:52.0;43:52.0;11;0;0;16.779;-29.447898;-53.285895;0;0;0;-1.1;-0.4;158.7;0;1;0;85;100;-1799;3175;16779;3105.5;3;P-GPS;1;0;0;0;-614;0;0;1.57618E+12;4196;4198;4182;4192;0;0;28;;;;;;;0;0;0;11;-4;1587;0;0;1624;6;5;0;0.3;0;0;0;0;;;100;100;0;2;0;0;0;2;0;;;;;6.4;0;0
-29.447898;-53.285895;0.5;0.5;0;0.04;0.5;0.5;0.2;0.06;200;43:52.1;43:52.1;11;0;0;16.779;-29.447898;-53.285895;0;0;0;-1.1;-0.3;158.7;0;1;0;85;100;-1799;3175;16779;3105.5;3;P-GPS;1;0;0;0;-62;0;0;1.57618E+12;4196;4198;4182;4192;0;0;28;;;;;;;0;0;0;11;-3;1587;0;0;1624;6;5;0;0.37;0;0;0;0;;;100;100;0;2;0;0;0;2;0;;;;;6.5;0;0
-29.447897;-53.285895;0.5;0.5;0;0.06;0.5;0.5;0.2;0.06;293;43:52.1;43:52.1;11;0;0;16.779;-29.447898;-53.285895;0;0;0;-1.2;-0.2;158.7;0;1;0;85;100;-1799;3175;16779;3105.5;3;P-GPS;1;0;0;0;0;0;0;1.57618E+12;4196;4198;4182;4192;0;0;28;;;;;;;0;0;0;12;-2;1587;0;0;1624;6;5;0;0.59;0;0;0;0;;;100;100;0;2;0;0;0;2;0;;;;;6.5;0;0
-29.447897;-53.285895;0.5;0.5;0.1;0.07;0.5;0.5;0.2;0.07;405;43:52.3;43:52.3;11;0;0;16.779;-29.447898;-53.285895;0;0;0.1;-1.3;-0.3;158.8;0;1;0;85;100;-1799;3175;16779;3105.5;3;P-GPS;1;0;0;0;0;0;0;1.57618E+12;4196;4198;4182;4192;0;0;28;;;;;;;0;0;0;13;-3;1588;0;0;1624;6;5;1;0.66;0;0;1;0;;;100;100;0;2;0;0;0;2;0;;;;;6.5;0;0
-29.447897;-53.285895;0.5;0.5;0.1;0.06;0.5;0.5;0.2;0.07;504;43:52.4;43:52.4;11;0;0;16.779;-29.447898;-53.285895;0;0;0.1;-1.3;-0.3;158.8;0;1;0;85;100;-1799;3175;16779;3105.5;3;P-GPS;1;0;0;0;0;0;0;1.57618E+12;4196;4198;4182;4192;0;0;28;;;;;;;0;0;0;13;-3;1588;0;0;1624;6;5;1;0.63;0;0;1;0;;;100;100;0;2;0;0;0;2;0;;;;;6.5;0;0
-29.447897;-53.285895;0.5;0.5;0;0.07;0.5;0.5;0.2;0.07;609;43:52.5;43:52.5;11;0;0;16.779;-29.447898;-53.285895;0;0;0;-1.2;-0.4;158.8;0;1;0;85;100;-1799;3175;16779;3105.5;3;P-GPS;1;0;0;0;0;0;0;1.57618E+12;4196;4198;4182;4192;0;0;28;;;;;;;0;0;0;12;-4;1588;0;0;1624;6;5;0;0.67;0;0;0;0;;;100;100;0;2;0;0;0;2;0;;;;;6.5;0;0
-29.447897;-53.285895;0.4;0.5;0;0.07;0.5;0.5;0.2;0.07;708;43:52.6;43:52.6;11;0;0;16.779;-29.447898;-53.285895;0;0;0;-1.2;-0.6;158.8;0;1;0;85;100;-1799;3175;16779;3105.5;3;P-GPS;1;0;0;0;0;0;0;1.57618E+12;4196;4198;4182;4192;0;0;28;;;;;;;0;0;0;12;-6;1588;0;0;1624;6;4;0;0.67;0;0;0;0;;;100;100;0;2;0;0;0;2;0;;;;;6.5;0;0
-29.447897;-53.285895;0.4;0.5;0;0.07;0.5;0.5;0.2;0.07;805;43:52.7;43:52.7;11;0;0;16.617;-29.447898;-53.285895;0;0;0;-1;-0.8;158.7;0;1;0;85;100;-7726;3171;16617;3105.5;3;P-GPS;1;0;0;0;0;0;0;1.57618E+12;4196;4198;4182;4192;0;0;28;;;;;;;0;0;0;10;-8;1587;0;0;1624;6;4;0;0.7;0;0;0;0;;;100;100;0;2;0;0;0;2;0;;;;;6.5;0;0
-29.447898;-53.285895;0.4;0.5;0;0.04;0.5;0.5;0.2;0.07;931;43:52.8;43:52.8;12;0;0;16.617;-29.447898;-53.285895;0;0;0;-0.8;-1;158.6;0;1;0;85;100;-7726;3171;16617;3105.5;3;P-GPS;1;0;0;0;0;0;0;1.57618E+12;4196;4198;4182;4192;0;0;28;;;;;;;0;0;0;8;-10;1586;0;0;1624;6;4;0;0.4;0;0;0;0;;;100;100;0;2;0;0;0;2;0;;;;;6.5;0;0
